n 1500
e 0 1293
e 0 1438
e 0 1474
e 0 1487
e 1 96
e 1 441
e 1 1195
e 1 1279
e 2 955
e 2 1118
e 3 734
e 3 824
e 4 316
e 4 762
e 4 1367
e 5 167
e 5 412
e 5 536
e 5 1292
e 5 1377
e 6 193
e 6 483
e 6 562
e 6 649
e 6 843
e 6 1137
e 7 65
e 7 92
e 7 135
e 7 904
e 7 1034
e 8 545
e 8 1141
e 8 1319
e 8 1366
e 9 371
e 9 437
e 9 747
e 9 830
e 9 849
e 9 856
e 9 1145
e 10 103
e 11 86
e 11 114
e 11 382
e 11 439
e 11 478
e 11 508
e 11 639
e 11 720
e 11 757
e 11 968
e 11 1256
e 11 1311
e 12 187
e 12 385
e 12 985
e 12 1354
e 13 145
e 13 272
e 13 581
e 13 1164
e 14 26
e 14 531
e 14 667
e 14 1405
e 14 1485
e 15 1059
e 16 351
e 16 819
e 16 991
e 16 1155
e 17 46
e 17 467
e 17 856
e 18 56
e 18 120
e 18 138
e 18 176
e 18 269
e 18 276
e 18 292
e 18 454
e 18 605
e 18 1073
e 18 1163
e 18 1260
e 18 1395
e 19 91
e 19 127
e 19 719
e 19 940
e 19 1221
e 19 1380
e 20 209
e 20 304
e 20 494
e 20 780
e 20 1206
e 20 1292
e 20 1496
e 21 41
e 21 187
e 21 600
e 21 726
e 21 753
e 21 1029
e 22 229
e 22 320
e 22 416
e 22 623
e 22 825
e 22 938
e 22 1253
e 22 1434
e 23 624
e 23 634
e 23 781
e 23 1228
e 24 173
e 24 790
e 24 860
e 24 1050
e 24 1291
e 25 72
e 25 822
e 25 853
e 25 1150
e 26 393
e 26 460
e 26 657
e 26 802
e 26 1013
e 26 1188
e 27 146
e 27 228
e 27 277
e 27 564
e 27 895
e 27 1142
e 28 261
e 28 561
e 28 599
e 28 1029
e 28 1164
e 28 1249
e 28 1380
e 29 588
e 29 716
e 29 1456
e 29 1473
e 30 171
e 30 504
e 30 914
e 30 1216
e 30 1370
e 31 454
e 31 808
e 32 176
e 32 470
e 32 750
e 32 846
e 32 849
e 33 1036
e 33 1265
e 34 112
e 35 222
e 35 800
e 35 984
e 35 1040
e 35 1161
e 35 1302
e 36 211
e 36 681
e 36 769
e 36 1338
e 37 599
e 37 817
e 38 466
e 38 495
e 38 847
e 38 1053
e 38 1136
e 39 344
e 39 693
e 39 743
e 39 1031
e 40 65
e 40 266
e 40 340
e 40 344
e 40 367
e 40 441
e 40 695
e 40 905
e 40 928
e 41 795
e 41 1188
e 41 1262
e 41 1499
e 42 229
e 42 285
e 42 377
e 42 404
e 42 1020
e 42 1134
e 43 153
e 43 426
e 43 574
e 43 736
e 43 1337
e 43 1413
e 43 1434
e 44 91
e 44 153
e 44 159
e 44 208
e 44 725
e 44 726
e 44 1286
e 45 137
e 45 159
e 45 644
e 45 816
e 45 1346
e 46 937
e 46 1103
e 46 1190
e 47 835
e 47 925
e 47 991
e 47 1134
e 48 616
e 48 1191
e 48 1467
e 49 208
e 49 840
e 49 922
e 49 959
e 49 1056
e 49 1233
e 49 1245
e 49 1491
e 50 245
e 50 251
e 50 325
e 50 329
e 50 345
e 50 727
e 50 1269
e 50 1420
e 51 513
e 51 938
e 51 1045
e 51 1109
e 52 415
e 52 579
e 52 950
e 52 1307
e 53 72
e 53 393
e 53 911
e 53 991
e 53 1033
e 53 1042
e 54 140
e 54 383
e 54 967
e 54 988
e 54 1375
e 55 314
e 55 570
e 55 947
e 55 968
e 55 1027
e 56 391
e 56 792
e 56 947
e 56 1097
e 57 313
e 57 336
e 57 661
e 57 978
e 57 1001
e 57 1380
e 58 117
e 58 270
e 58 372
e 58 481
e 58 605
e 58 1182
e 59 108
e 59 160
e 59 286
e 59 291
e 59 553
e 59 683
e 59 892
e 59 1002
e 59 1377
e 60 359
e 60 1181
e 61 321
e 61 896
e 61 929
e 62 130
e 62 272
e 62 1069
e 62 1326
e 63 107
e 63 560
e 63 585
e 63 990
e 63 993
e 63 1344
e 64 152
e 64 374
e 64 546
e 64 810
e 64 867
e 64 1159
e 64 1166
e 64 1263
e 64 1340
e 64 1465
e 64 1484
e 65 576
e 65 581
e 65 999
e 65 1052
e 65 1299
e 66 721
e 66 1088
e 66 1247
e 67 277
e 67 288
e 67 659
e 67 797
e 67 1091
e 67 1234
e 68 159
e 68 600
e 68 647
e 68 658
