n 1000
e 0 428
e 0 453
e 0 277
e 0 878
e 1 76
e 1 325
e 1 351
e 1 473
e 2 424
e 2 679
e 2 537
e 3 874
e 3 161
e 3 854
e 3 762
e 3 622
e 7 999
e 7 536
e 7 72
e 7 43
e 7 452
e 8 683
e 8 699
e 8 595
e 8 701
e 8 109
e 8 310
e 8 14
e 9 163
e 9 323
e 9 987
e 11 393
e 11 695
e 11 253
e 11 267
e 11 565
e 12 817
e 12 536
e 12 361
e 12 492
e 12 603
e 13 531
e 13 125
e 13 279
e 13 519
e 14 16
e 14 38
e 14 170
e 14 730
e 14 119
e 14 988
e 14 257
e 14 753
e 14 363
e 15 958
e 15 449
e 15 739
e 15 175
e 16 534
e 16 322
e 16 695
e 16 84
e 18 709
e 18 356
e 18 20
e 18 619
e 18 156
e 18 978
e 18 824
e 19 402
e 19 723
e 19 889
e 19 96
e 19 324
e 19 707
e 20 95
e 20 854
e 21 879
e 21 51
e 21 525
e 21 657
e 21 591
e 22 340
e 22 950
e 22 605
e 22 153
e 22 998
e 22 565
e 22 850
e 22 330
e 23 531
e 23 223
e 23 72
e 23 68
e 24 874
e 24 242
e 24 322
e 24 129
e 24 439
e 25 265
e 25 896
e 25 272
e 25 827
e 26 670
e 26 231
e 26 674
e 26 560
e 26 446
e 28 373
e 28 596
e 28 861
e 28 183
e 28 872
e 28 444
e 28 974
e 29 198
e 29 895
e 29 155
e 29 709
e 31 920
e 31 803
e 31 399
e 31 155
e 31 488
e 31 678
e 32 187
e 32 135
e 32 858
e 33 495
e 33 835
e 33 964
e 33 702
e 34 712
e 34 181
e 34 631
e 34 414
e 34 344
e 34 671
e 34 940
e 37 872
e 37 950
e 37 307
e 37 240
e 38 505
e 38 776
e 39 610
e 39 309
e 39 952
e 39 295
e 40 851
e 40 791
e 40 703
e 41 363
e 41 770
e 41 768
e 41 557
e 41 47
e 42 750
e 42 633
e 42 630
e 42 809
e 42 920
e 42 771
e 42 148
e 43 147
e 43 882
e 43 730
e 43 926
e 44 344
e 44 995
e 44 841
e 44 58
e 44 968
e 44 464
e 45 328
e 45 231
e 45 457
e 45 128
e 45 156
e 47 918
e 47 180
e 47 593
e 47 84
e 49 139
e 49 550
e 49 654
e 50 313
e 50 935
e 50 825
e 50 776
e 51 809
e 51 536
e 52 156
e 52 860
e 52 110
e 53 323
e 53 841
e 53 57
e 53 229
e 53 686
e 56 593
e 56 59
e 56 248
e 57 870
e 57 456
e 57 824
e 57 228
e 57 84
e 58 736
e 58 734
e 59 968
e 59 628
e 59 213
e 59 182
e 59 126
e 60 376
e 60 738
e 60 883
e 60 227
e 60 112
e 60 752
e 60 499
e 61 971
e 61 74
e 61 573
e 62 188
e 62 434
e 62 297
e 63 327
e 63 273
e 63 608
e 65 304
e 65 294
e 65 441
e 66 755
e 66 239
e 66 760
e 66 518
e 66 978
e 67 867
e 67 692
e 67 904
e 67 712
e 68 719
e 68 505
e 68 835
e 70 463
e 70 544
e 70 703
e 70 860
e 71 911
e 71 679
e 71 338
e 72 910
e 72 902
e 72 712
e 72 776
e 72 854
e 73 226
e 73 253
e 73 414
e 74 964
e 74 945
e 74 396
e 74 534
e 74 472
e 76 605
e 76 112
e 76 546
e 77 629
e 77 843
e 77 589
